Rank,Driver,ID,Car,Lap Time,Sector 1,Sector 2,Sector 3
35,Dae Hee Yun (HYD),S76561198052032446,Porsche 991 II GT3 R 2019,01:29.247000,00:30.580000,00:28.967000,00:29.700000
36,Russell Allen (ALL),S76561198025185323,Audi R8 LMS Evo II 2022,01:29.290000,00:30.502000,00:29.142000,00:29.645000
37,Al Lotufo (ALT),S76561197965864959,McLaren 720S GT3 Special,01:29.317000,00:30.120000,00:29.227000,00:29.970000
38,Max Sanchez (MAX),S76561198117343010,Audi R8 LMS Evo II 2022,01:29.342000,00:30.397000,00:29.105000,00:29.840000
39,Josh Damiani (PLY),S76561198310808524,Aston Martin Vantage V8 2019,01:29.410000,00:30.687000,00:29.230000,00:29.492000
40,Bradley Busek (BSK),S76561198075812491,Aston Martin Vantage V8 2019,01:29.522000,00:30.420000,00:29.245000,00:29.857000
41,Eric Boardman (BOA),S76561199238518693,Audi R8 LMS Evo II 2022,01:29.535000,00:30.447000,00:29.322000,00:29.765000
42,Bryan Anderson (AND),S76561197993701529,Lamborghini Huracan Evo 2019,01:29.587000,00:30.377000,00:29.330000,00:29.880000
43,JOSE GUZMAN (GUZ),S76561198341299184,Audi R8 LMS Evo II 2022,01:29.590000,00:30.412000,00:29.245000,00:29.932000
44,Mark Sutherland (PLY),S76561199053013906,BMW M4 GT3 2022,01:29.595000,00:30.205000,00:29.517000,00:29.872000
45,Jess Osborn (PLY),S76561198003735430,Porsche 991 II GT3 R 2019,01:29.605000,00:30.152000,00:29.540000,00:29.912000
46,colin shea (PLY),S76561198171727959,McLaren 720S GT3 Special,01:29.720000,00:30.362000,00:29.347000,00:30.010000
47,Felipe Vicini (VCN),S76561198035103523,Ferrari 488 GT3 Evo,01:29.757000,00:30.330000,00:29.490000,00:29.937000
48,Tony Spagett (SPT),S76561197969591474,Audi R8 LMS Evo II 2022,01:29.765000,00:30.642000,00:29.192000,00:29.930000
49,Jason Allen (JAL),S76561198069178982,Audi R8 LMS Evo II 2022,01:29.785000,00:30.675000,00:29.510000,00:29.600000
50,David Taflevich (DTF),S76561199196705483,Aston Martin Vantage V8 2019,01:29.790000,00:30.100000,00:29.545000,00:30.145000
51,Matt Morrison (MOR),S76561198999267373,Bentley Continental GT3 2018,01:29.882000,00:30.850000,00:29.227000,00:29.805000
52,Eduardo Rodriguez (RDZ),S76561198014191937,Audi R8 LMS Evo II 2022,01:29.912000,00:30.265000,00:29.487000,00:30.160000
53,John Foguth (JFO),S76561199054010958,McLaren 720S GT3 Special,01:29.912000,00:30.425000,00:29.497000,00:29.990000
54,Peter Reynolds (REY),S76561198126854694,Porsche 991 II GT3 R 2019,01:29.975000,00:30.480000,00:29.515000,00:29.980000
55,Brandon Sobchyshyn (BRS),S76561198071302229,Honda NSX Evo 2019,01:29.985000,00:30.740000,00:29.357000,00:29.887000
56,Christopher Becco (BEC),S76561198068194789,McLaren 720S GT3 Special,01:29.990000,00:30.457000,00:29.465000,00:30.067000
57,Clark Gould (GOU),S76561198381088829,Audi R8 LMS Evo II 2022,01:30.015000,00:30.580000,00:29.465000,00:29.970000
